,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,C_fit,pc_fit,pe_fit
0,500,200,10,-5,0.05,0,0,11.069420319514386,-5.009578893885012,0.004761572204326571,-3.2869759030479138,-0.2916878489261962,-0.6662075817668258
1,10000,200,10,-5,0.05,0,0,11.16470024666912,-5.709888675126431,0.492353273566585,-0.10494847829000209,-0.017636725156561367,-0.00035505884960168995
2,50000,200,10,-5,0.05,0,0,11.227262758931827,-5.765474672438212,0.22700204092322812,0.17988889279083312,0.02073572528551096,-0.11054884553829347
3,500,200,10,-5,0.05,0,0,9.405616956375212,-5.185720169906284,0.0016411832701607742,-1.7073369294969374,0.15074180323652883,-0.13491319151055015
4,10000,200,10,-5,0.05,0,0,10.687537849427597,-5.324117280108388,0.2677806990316859,0.1660903439752799,-0.03166266258927539,-0.31309783001537717
5,50000,200,10,-5,0.05,0,0,10.53549239111905,-5.240519787993199,0.29594205782929517,0.14945621862928488,-0.006229308632548811,-0.11700663811894661
6,500,200,10,-5,0.05,0,0,10.12356926364932,-7.663658304081667,0.024631668329770047,-0.6392655125159659,0.33021183450538005,-0.3386733704250732
7,10000,200,10,-5,0.05,0,0,11.11220460252436,-5.649374751310602,0.43718705775801614,0.08517271815606187,-0.04935222451870013,-0.042494972669023044
8,50000,200,10,-5,0.05,0,0,11.201464003754808,-5.693635558612657,0.5086549918083492,-0.0923778228283792,0.0008483295120780236,-0.0543801165318005
9,500,200,10,-5,0.05,0,0,10.211190649267925,-5.117795799324053,0.006533707484259929,-0.3762311018830513,-0.001968919905629366,0.3815196184412027
10,10000,200,10,-5,0.05,0,0,11.468064149116977,-5.8365325140536175,0.32151261076449406,-0.11639939573534112,-0.015542130958035541,-0.09103663482905473
11,50000,200,10,-5,0.05,0,0,10.973690503296652,-5.434394032763088,0.36755380616045036,0.11739935049590372,-0.008144206018720632,-0.09981058756857185
12,500,200,10,-5,0.05,0,0,9.894272187056611,-5.338042761615942,0.011539596227901096,0.858768475074539,-0.05104210128542667,0.6277839893936367
13,10000,200,10,-5,0.05,0,0,11.3420837315088,-6.028927252517038,0.26700928994518963,-0.12035718037644233,-0.020427654865992937,-0.2384744693388338
14,50000,200,10,-5,0.05,0,0,10.784751059081795,-5.391235062494192,0.3436914843277312,-0.11600478723547328,-0.003770919723994815,0.04953606939553906
15,500,200,10,-5,0.05,0,0,10.882573586783,-4.432795525953407,0.011784565744077095,-1.046379027255559,0.011959529070860673,0.22517806667617646
16,10000,200,10,-5,0.05,0,0,10.13752452881727,-5.016783909988058,0.510771485045216,0.08140253377537426,-0.03160175754346786,-0.005949926775785173
17,50000,200,10,-5,0.05,0,0,11.164737134137605,-5.609112663785496,0.39435784850032835,-0.11232483960714171,-0.013094910775296216,-0.06094748347649087
18,500,200,10,-5,0.05,0,0,10.292963042510848,-5.244529578180703,0.045650910412877894,0.2023049682081309,0.12623481035937317,0.09532129173515058
19,10000,200,10,-5,0.05,0,0,10.828788296403879,-5.430347031642132,0.3378587522108613,-0.09589788190327873,0.01693879880740429,-0.0688454301935594
20,50000,200,10,-5,0.05,0,0,10.64763421383907,-5.363515447965771,0.3672189409871101,-0.1214169096624666,-0.00146025643894426,0.016413192723659785
21,500,200,10,-5,0.05,0,0,9.537209078103496,-5.543368019644493,0.0031027758792290324,-0.913331212694501,0.19960471280199735,-0.05636077045082858
22,10000,200,10,-5,0.05,0,0,10.748543087816516,-5.343817637616689,0.41316711034117315,-0.10183448947707942,0.0046123498964641555,0.03729622150414979
23,50000,200,10,-5,0.05,0,0,10.662476913175643,-5.343409562137193,0.39036739437029594,-0.1252297327650042,-0.008695115969552676,-0.018672613226674375
24,500,200,10,-5,0.05,0,0,10.410084419361743,-5.262562921708628,0.013673141040341528,0.4194108333903802,0.09668885748915625,-0.39813068757089365
25,10000,200,10,-5,0.05,0,0,10.976509722350965,-5.651784349792012,0.11520456998101189,-0.28439384716929195,-0.049677493111739884,-0.15424297170290843
26,50000,200,10,-5,0.05,0,0,10.513646171693535,-5.286215983422501,0.2562261760090719,0.1565145205508736,-0.011895723704632447,-0.18641157314418336
27,500,200,10,-5,0.05,0,0,12.504128973947756,-5.558417962537929,0.0027847754658379903,-1.484784517698035,0.00970883129305638,0.6666294685958217
28,10000,200,10,-5,0.05,0,0,10.907384776092865,-5.585146480522103,0.42097979964976207,0.09634475706766049,-0.05264430113140042,-0.04367063539445343
29,50000,200,10,-5,0.05,0,0,10.492395636485059,-5.2911529595684526,0.3290371303991052,-0.12083075786360095,-0.008569220660853109,-0.031208127853853584
30,500,200,10,-5,0.05,0,0,9.975450468590525,-4.330954143608679,0.015939679908161603,-0.4830464707806618,0.12460685689759181,0.1209121519173288
31,10000,200,10,-5,0.05,0,0,11.011797082925103,-5.465979472951265,0.43696469139702254,-0.106351976116139,0.03365598524537095,-0.22267470734850922
32,50000,200,10,-5,0.05,0,0,10.74479322199412,-5.325159857479283,0.2974470404599449,-0.14674812599936,-0.006258854038938991,-0.12799538908061747
33,500,200,10,-5,0.05,0,0,10.124515021431954,-4.219067302298178,0.026304540429658525,0.6388795271918961,-0.21086955888658515,-0.23911419612438653
34,10000,200,10,-5,0.05,0,0,10.487543598362707,-5.232846914873604,0.2947329820974021,-0.12633580648995726,-0.05315107453020998,0.049830648303197736
35,50000,200,10,-5,0.05,0,0,10.633104756585018,-5.384246317477747,0.33338970768894804,-0.12999606628866797,-0.019709654581493877,-0.13868333356106596
36,500,200,10,-5,0.05,0,0,10.812472912186896,-2.059888240045339,0.005735070079938369,1.3801159119772617,0.043090164475630986,-0.1346770679516841
37,10000,200,10,-5,0.05,0,0,11.521282573001416,-5.942504330202834,0.3012837789605153,-0.15892168251209332,0.0043297494591185825,-0.3104952139150374
38,50000,200,10,-5,0.05,0,0,10.842567779818552,-5.478154581570795,0.40785533998113493,0.1129242221796715,0.0030447427568032867,-0.03969467639997214
39,500,200,10,-5,0.05,0,0,11.808921378644799,-6.2012569012821235,0.0426272035523724,-0.007924723667550935,-0.16678449744286108,0.3494158636940734
40,10000,200,10,-5,0.05,0,0,10.977859573425071,-5.575098768422712,0.47421872984416996,-0.09605242444716108,-0.0644632097959664,-0.13858552329679963
41,50000,200,10,-5,0.05,0,0,10.489264817509843,-5.260179212929261,0.3066937389247692,0.1311151778909509,-0.005252331218163667,-0.014761327723672776
42,500,200,10,-5,0.05,0,0,11.657869762059397,-6.423733512398437,0.039371071013591045,0.524246520576536,-0.32699785030758305,-0.491087851222181
43,10000,200,10,-5,0.05,0,0,11.166840428646443,-5.7499805605906955,0.37573387037462463,-0.09823536311425318,0.05963391384394722,0.12575916606424564
44,50000,200,10,-5,0.05,0,0,10.953040576076207,-5.452931528375966,0.4213741456999017,-0.11625947544729417,-0.019195309175797454,-0.01272634583041175
45,500,200,10,-5,0.05,0,0,13.219726694037288,-6.743680846197836,0.00919177383738916,0.4937323520514654,-0.20951478686495137,0.43542481459488347
46,10000,200,10,-5,0.05,0,0,11.167192918128912,-5.785340962650128,0.2340487448072811,-0.17791138970942152,0.03287867070319907,-0.06693227346066265
47,50000,200,10,-5,0.05,0,0,10.953285764054195,-5.467660768925558,0.3096343127887542,-0.12383712339640349,0.012570205177350373,-0.09283183856124418
48,500,200,10,-5,0.05,0,0,11.725792664612134,-5.246769854517647,0.02918693847164119,0.36837247506816284,-0.1506945845855443,0.21983286019413728
49,10000,200,10,-5,0.05,0,0,11.197273920397954,-5.594366767531101,0.5017644940584975,0.08871533916039157,-0.08303356119144795,-0.06570074341340731
50,50000,200,10,-5,0.05,0,0,10.703325116789106,-5.392341454292181,0.3583215169573256,-0.12572135540365442,-0.006426901435649101,-0.04118415935295738
51,500,200,10,-5,0.05,0,0,10.037165931782935,-4.900107515909571,0.020526092077688924,0.23755438094632478,-0.004526087949577899,0.5821646406696135
52,10000,200,10,-5,0.05,0,0,11.20224382370951,-5.658087209343296,0.48558168081799247,-0.07812068621569114,0.022464518490321758,-0.10218806985426832
53,50000,200,10,-5,0.05,0,0,10.57716774434901,-5.2956791978836755,0.37070417173622255,-0.11137413458997562,-0.02403801101056589,-0.007064800922637967
54,500,200,10,-5,0.05,0,0,10.544879124062934,-5.004981903708175,0.05769351293664333,-0.31656574264841,-0.06424722990817666,-0.13895211979078212
55,10000,200,10,-5,0.05,0,0,10.426780014773893,-5.290227253434415,0.34618234565457506,0.09338255744487968,-0.04936423765444628,-0.028639437270217727
56,50000,200,10,-5,0.05,0,0,10.730338320502662,-5.386223937375237,0.3094707967659903,0.1580092812999151,-0.02301559238100715,-0.1346930017457475
57,500,200,10,-5,0.05,0,0,8.984691547141935,-4.653832274015803,0.017984292387304042,-0.06265987326633582,-0.20381173422576418,0.3261262211228107
58,10000,200,10,-5,0.05,0,0,10.362982562962188,-5.229315402127476,0.47459123308138523,-0.10505076540375799,0.0424687653250886,-0.08068018560142552
59,50000,200,10,-5,0.05,0,0,10.460922704590446,-5.154542974610001,0.2316548956177754,-0.17676026327975047,-0.024113025595863907,-0.05481034477154075
