,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,AR_sim,prevresp_sim,prevconf_sim,prevrespconf_sim,prevsignevi_sim,prevabsevi_sim,prevsignabsevi_sim,sens_fit,bias_fit,sigma_fit,AR_fit,prevresp_fit,prevconf_fit,prevrespconf_fit,prevsignevi_fit,prevabsevi_fit,prevsignabsevi_fit
0,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,14.224128526900103,0,1.2049560088408648,0.9137218436942944,-0.5517187497973938,-0.0651825385758564,0.6926725595908146,0.13685080039072042,0.0717598527641616,-0.04048575240828885
1,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.641281972644391,0,0.1962128970370732,0.9503979661042428,0.011988546430799864,0.038625441133303295,0.2967770769873469,-0.11756654531396427,-0.016643521242656584,-0.050361391256862065
2,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,10.518961279481818,0,0.20323776286839987,0.9544756470671245,0.14026012774882382,-0.007428788650189434,0.38231211251558916,-0.28234748161984924,0.15186966725494241,-0.05132666454063356
3,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.927736920335919,0,0.2793060539391884,0.21290550845177267,0.47036244077585565,0.035781738360488397,0.3857400327008109,-0.45588744302192563,-0.03136350890155574,-0.1650528260489236
4,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.673930526245194,0,0.20657751434371632,0.9398211612206364,-0.2842741938140897,-0.13064787433815145,0.3159714954386868,0.08839062829767112,-0.08431932024922455,-0.055100359498995825
5,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,17.05049891392106,0,2.7739975787647873,0.8643415954997996,-0.6593787979938129,-0.144853287143481,0.8221565134618085,0.36838015054045087,0.08782404245009322,-0.12369811160108403
6,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.369535453438261,0,0.00016708496790152053,0.6385605650050562,0.48628030268635425,-0.017984701868481934,0.43457947395225394,-0.37572186015587494,0.1152538741365915,-0.314399139059639
7,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.939245905589364,0,0.3597272789627604,0.37046847636088615,0.4261931396764483,-0.049381796768266886,0.47431737715793554,-0.44234218614848225,0.034132505852202955,-0.16860328143837144
8,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.682485158780683,0,0.000567463023426872,0.6680246643444261,0.3609647186016955,-0.07048310368636022,0.4702370382121084,-0.36830313581225776,0.07356525543288765,-0.13127936873224008
9,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.645914126294484,0,0.016693688925029797,-0.10478040774376304,0.4806187938636784,0.023501289174445796,0.4816404985364682,-0.5393771330664047,-0.009375498329960395,-0.15269410138895795
10,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.707433316176576,0,0.15172650324595535,0.9601935506203454,-0.021132976381347254,0.06105202246142631,0.3030660176993188,-0.31419173348451884,0.014700161895788499,0.12181321013485452
11,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.746735795250453,0,0.09876008522772349,0.5044134781730729,0.47333399927265823,0.024941323794919375,0.4275326435966133,-0.45491656688774273,0.009621719933809203,-0.1820911335938869
12,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.73952174946639,0,0.0012714099869036118,0.4726287899842184,0.44206741712738695,0.10060069641888945,0.4589855728576268,-0.33644021554782066,-0.018255765029510516,-0.18181931764783602
13,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,8.06931072078408,0,0.3426603974408125,0.2590833084829657,0.3634850576899898,0.022966900927055785,0.4538796260203298,-0.36273863653142685,-0.021989972566418957,-0.17221736478489655
14,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.176206952210158,0,0.10565148768481242,0.9581639966508548,0.13493307844678612,0.23572863513495618,0.6155525263446185,-0.17631545200710852,0.009813376874453269,-0.22182370760029343
15,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,10.849747037122256,0,0.4633190223682561,0.9268151103066368,-0.15730994437869011,0.03295025797604914,0.42694033938587717,0.033650002206372064,0.009373265368121862,-0.07099520070641911
16,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,8.005053258211099,0,0.033805976596927356,-0.19185345764123513,0.6501177680438869,0.054922699061103086,0.45629303636116336,-0.534339506326432,-0.013878588054574564,-0.35668597642892286
17,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,8.560219811199891,0,0.6603579471137795,0.14709719750148345,0.41844909537938146,0.04921481270489764,0.5145345458693037,-0.4213913376533545,-0.04746858067783519,-0.2369141329795487
18,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.287301235104138,0,0.12362228785421316,0.9627313970074574,0.12691439917862063,0.04264138865774115,0.3188687845756061,-0.2956412133493541,-0.07054333193460086,-0.02207716555149535
19,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.340057668623626,0,0.14246872764157195,0.9569086296447394,0.075881781683283,-0.03473959496533897,0.3045494230245236,-0.17300681032032073,0.039855985669022806,-0.07485731032083655
20,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,13.88205544736218,0,0.9674825170289848,0.9153000385903768,-0.09637771561449449,-0.04123757537559935,0.3941837593699313,-0.013262317462821497,-0.01475441297784953,-0.2366871240499047
21,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.6052565309983775,0,0.006883304771903217,0.607185433726607,0.5474837901418941,-0.020123557536703616,0.4263847107667261,-0.5638191470880671,0.006830617098333592,-0.19766979669186216
22,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.371689087563635,0,0.1384359532967379,0.9509666091502591,0.0785488360848333,0.06899305931026273,0.23301996945284933,-0.05336970907685619,0.05511355008982934,-0.05184941924869513
23,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,8.208612543088433,0,0.425923010957623,0.320556800676406,0.4063176371344822,0.08455530803466108,0.3866258328810382,-0.3970496053117744,-0.059932370452483556,-0.1535288556513072
24,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.145517148508043,0,0.17924261655311385,0.9559728769056859,0.07331555519828992,0.0069125098646529385,0.3312996719651635,-0.1801038597753868,-0.07960236138523927,-0.06276277699577186
25,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.296777506222373,0,0.0972269162884325,0.968248922162291,0.013953097403935747,0.09754331551106023,0.2761693414837727,-0.13885000881458934,-0.02670427493437655,-0.05561690567827287
26,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.568605048869372,0,0.2226164516254451,0.9498151621948554,-0.1621680941284135,0.1742160930993137,0.3192116444014733,0.10769024448229529,-0.07835541786796102,-0.06835420527020443
27,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.643189068483942,0,0.028382729583458142,0.4391948700234827,0.41704050599096815,-0.04674685869849308,0.3952827918795106,-0.38942548780416925,0.0338129881228499,-0.17366243496919753
28,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.515116559237131,0,0.0023164330275970394,0.44396203283321056,0.47052085772946656,0.015216116553798365,0.36363111419946176,-0.41141771325365156,0.04938942322121109,-0.216920385511973
29,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.619929595885215,0,0.004287183924634726,0.08330463928242744,0.38492703085470875,-0.10114153814837717,0.454534607827075,-0.3979079146326629,0.04743223838421136,-0.17602166869101774
30,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,11.911422375528488,0,0.5732608004853198,0.9246614558636854,-0.1540929901131841,-0.08336391535246594,0.3828351956172427,-0.01875373655410456,0.026745901020453912,0.007706602248968143
31,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,11.410002660025347,0,0.5946212123111142,0.9245556039989307,-0.25091507993416184,-0.06437431449245462,0.36169249674319026,0.06009996627897022,0.01480387808982505,0.00737675253625416
32,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,10.225493253984123,0,0.21293891034540788,0.9492444408250041,0.0438052906248531,-0.08926089575544255,0.5842467952220137,-0.31692832810334115,0.09583194392954779,-0.01777388935950565
33,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,9.375247444127618,0,1.4018854702801704,0.2430151887194716,0.40591768539413126,0.010808684400497677,0.6200437697835498,-0.5034619057744927,0.015739497900000066,-0.18924657600163988
34,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,10.007926192989524,0,0.29587722730539195,0.9424915867759169,0.020485030664143172,-0.053571126764049015,0.3719243944619101,0.07166609489454806,0.006055871077599433,-0.3088858097300547
35,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,11.134908784624242,0,0.5255274656704702,0.9215350525177752,-0.23133348606915563,0.01500985941014274,0.3929968578141518,-0.017717891138472865,0.012584309283799468,0.019255756547143385
36,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,10.190182109963395,0,0.40867151635846943,0.9361937376138767,-0.16867310956139375,0.14133246509501074,0.4643200766343765,0.1465035139814996,-0.05461405099881968,-0.18777735811359383
37,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.730681949442773,0,0.07838942352673212,0.2772238641736438,0.41962135902599423,0.005471366491602289,0.4756502196086893,-0.45624441410655536,-0.03066800014221719,-0.18109214788836991
38,10000,1000,10,0,0.5,0.95,0,0,0,0,0,0,7.161029752730255,0,0.008792618149808813,0.366958105489598,0.5302019498162639,0.04689958234256818,0.373279454832101,-0.4514697033094717,-0.053743781329445774,-0.22326689375944306
39,50000,1000,10,0,0.5,0.95,0,0,0,0,0,0,19.25958099256749,0,3.4471071165427367,0.8784273686580955,-0.6604196560290138,-0.1910796219242699,0.7324285771097044,0.3666890635401416,0.11438784660143793,-0.10745118941300158
